# time Tc_folded Tref_folded model 
2453115.032645 -5.048295 0.463110     1.786664
2453115.963943 -4.116997 0.528282     1.821592
2453116.895241 -3.185699 0.593454     1.660924
2453117.826539 -2.254401 0.658626     1.306747
2453118.757836 -1.323104 0.723798     0.756268
2453119.689134 -0.391806 0.788970     0.014123
2453120.620432 0.539492 0.854142    -0.877547
2453121.551730 1.470790 0.919314    -1.781912
2453122.483028 2.402088 0.984486    -2.417271
2453123.414326 3.333386 0.049658    -2.459585
2453124.345624 4.264683 0.114830    -1.850086
2453125.276921 5.195981 0.180002    -0.886515
2453126.208219 6.127279 0.245174     0.081087
2453127.139517 7.058577 0.310346     0.864405
2453128.070815 -6.299970 0.375518     1.411343
2453129.002113 -5.368673 0.440690     1.727730
2453129.933411 -4.437375 0.505862     1.832003
2453130.864708 -3.506077 0.571034     1.737971
2453131.796006 -2.574779 0.636206     1.450580
2453132.727304 -1.643481 0.701378     0.967884
2453133.658602 -0.712183 0.766550     0.289731
2453134.589900 0.219115 0.831722    -0.559674
2453135.521198 1.150412 0.896894    -1.483884
2453136.452496 2.081710 0.962066    -2.251384
2453137.383793 3.013008 0.027238    -2.524469
2453138.315091 3.944306 0.092410    -2.119579
2453139.246389 4.875604 0.157582    -1.233483
2453140.177687 5.806902 0.222754    -0.236811
2453141.108985 6.738200 0.287926     0.620845
2453142.040283 -6.620348 0.353098     1.250046
2453142.971581 -5.689050 0.418270     1.643747
2453143.902878 -4.757752 0.483442     1.819029
2453144.834176 -3.826454 0.548614     1.792201
2453145.765474 -2.895156 0.613786     1.571298
2453146.696772 -1.963859 0.678958     1.156186
2453147.628070 -1.032561 0.744130     0.544479
2453148.559368 -0.101263 0.809302    -0.251903
2453149.490665 0.830035 0.874474    -1.168584
2453150.421963 1.761333 0.939646    -2.025704
2453151.353261 2.692631 0.004818    -2.505063
2453152.284559 3.623928 0.069990    -2.330563
2453153.215857 4.555226 0.135162    -1.568831
2453154.147155 5.486524 0.200334    -0.572653
2453155.078453 6.417822 0.265506     0.349578
2453156.009750 -6.940725 0.330678     1.060709
2453156.941048 -6.009428 0.395850     1.533939
2453157.872346 -5.078130 0.461022     1.782215
2453158.803644 -4.146832 0.526194     1.823540
2453159.734942 -3.215534 0.591366     1.669063
2453160.666240 -2.284236 0.656538     1.321122
2453161.597538 -1.352938 0.721710     0.776953
2453162.528835 -0.421640 0.786882     0.040615
2453163.460133 0.509657 0.852054    -0.847695
2453164.391431 1.440955 0.917226    -1.755246
2453165.322729 2.372253 0.982398    -2.404720
2453166.254027 3.303551 0.047570    -2.469145
2453167.185325 4.234849 0.112742    -1.877221
2453168.116622 5.166147 0.177914    -0.918950
2453169.047920 6.097445 0.243086     0.052393
2453169.979218 7.028742 0.308258     0.842919
2453170.910516 -6.329805 0.373430     1.397490
2453171.841814 -5.398507 0.438602     1.720979
2453172.773112 -4.467209 0.503774     1.831788
2453173.704410 -3.535911 0.568946     1.743985
2453174.635707 -2.604614 0.634118     1.462795
2453175.567005 -1.673316 0.699290     0.986406
2453176.498303 -0.742018 0.764462     0.314363
2453177.429601 0.189280 0.829634    -0.530494
2453178.360899 1.120578 0.894806    -1.455055
