Dataset,Configuration,Planets,MAP BIC,ΔBIC,Convergence %,Max GR,Preferred_BIC,File
DS1,2_activity_indi,0p,4117.18,135.74000000000024,92.85714285714286,1.299314,False,configuration_file_emcee_run_DS1_0p_2_activity_indi.log
DS1,2_activity_indi,1p,3981.44,0.0,82.97872340425532,1.189065,True,configuration_file_emcee_run_DS1_1p_2_activity_indi.log
DS1,2_activity_indi,2p,4005.9,24.460000000000036,48.07692307692308,1.320624,False,configuration_file_emcee_run_DS1_2p_2_activity_indi.log
DS1,2_activity_indi,3p,4011.23,29.789999999999964,73.68421052631578,1.249986,False,configuration_file_emcee_run_DS1_3p_2_activity_indi.log
DS1,4_activity_indi,0p,4798.81,155.55000000000018,54.41176470588235,1.358992,False,configuration_file_emcee_run_DS1_0p_4_activity_indi.log
DS1,4_activity_indi,1p,4643.26,0.0,35.61643835616438,1.455003,True,configuration_file_emcee_run_DS1_1p_4_activity_indi.log
DS1,4_activity_indi,2p,4644.06,0.8000000000001819,42.30769230769231,1.365056,False,configuration_file_emcee_run_DS1_2p_4_activity_indi.log
DS1,4_activity_indi,3p,4689.7,46.4399999999996,10.843373493975903,1.477735,False,configuration_file_emcee_run_DS1_3p_4_activity_indi.log
DS1,5_activity_indi,0p,2291.27,145.2199999999998,32.098765432098766,1.384137,False,configuration_file_emcee_run_DS1_0p_5_activity_indi.log
DS1,5_activity_indi,1p,2146.05,0.0,10.465116279069768,1.424743,True,configuration_file_emcee_run_DS1_1p_5_activity_indi.log
DS1,5_activity_indi,2p,2148.05,2.0,18.681318681318682,1.383877,False,configuration_file_emcee_run_DS1_2p_5_activity_indi.log
DS1,5_activity_indi,3p,2174.04,27.98999999999978,17.708333333333336,1.343683,False,configuration_file_emcee_run_DS1_3p_5_activity_indi.log
DS1,ccfs,0p,6698.46,149.39000000000033,100.0,1.098002,False,configuration_file_emcee_run_DS1_0p_ccfs.log
DS1,ccfs,1p,6549.07,0.0,91.48936170212765,1.163523,True,configuration_file_emcee_run_DS1_1p_ccfs.log
DS1,ccfs,2p,6562.51,13.44000000000051,90.38461538461539,1.182828,False,configuration_file_emcee_run_DS1_2p_ccfs.log
DS1,ccfs,3p,6581.8,32.73000000000047,87.71929824561403,1.22809,False,configuration_file_emcee_run_DS1_3p_ccfs.log
DS1,white_noise,1p,1084.06,18.589999999999918,100.0,1.001666,False,configuration_file_emcee_run_DS1_1p_white_noise.log
DS1,white_noise,2p,1065.47,0.0,100.0,1.002445,True,configuration_file_emcee_run_DS1_2p_white_noise.log
DS1,white_noise,3p,1069.95,4.480000000000018,100.0,1.008076,False,configuration_file_emcee_run_DS1_3p_white_noise.log
