# time Tc_folded Tref_folded value value_err offset model full_model val_compare val_compare_err residuals residuals_err jitter jitter_flag offset_flag subset_flag 
59334.700184 -0.113000 0.000000 12.513036 0.102000 16.076126 0.527420 11.644613 1.395844 0.102000 0.868423 0.102000 1.289870  -1   2  -1 
59334.703954 -0.109230 0.002967 12.338036 0.102000 16.076126 0.512189 11.633453 1.216772 0.102000 0.704583 0.102000 1.289870  -1   2  -1 
59334.711459 -0.101725 0.008875 11.786036 0.102000 16.076126 0.481244 11.610720 0.656560 0.102000 0.175316 0.102000 1.289870  -1   2  -1 
59334.934601 0.121417 0.184517 12.027445 0.113000 16.248728 -0.541530 11.055687 0.430228 0.113000 0.971758 0.113000 1.289870  -1   3  -1 
59334.935678 0.122494 0.185365 9.957445 0.113000 16.248728 -0.545641 11.053166 -1.641362 0.113000 -1.095721 0.113000 1.289870  -1   3  -1 
59334.936754 0.123570 0.186212 9.409445 0.113000 16.248728 -0.549729 11.050667 -2.190951 0.113000 -1.641222 0.113000 1.289870  -1   3  -1 
59336.069824 -0.013793 0.078089 9.820445 0.117000 16.248728 0.074784 12.448661 -2.553432 0.117000 -2.628216 0.117000 1.289870  -1   3  -1 
59336.071983 -0.011634 0.079788 12.385445 0.117000 16.248728 0.064232 12.436881 0.012796 0.117000 -0.051436 0.117000 1.289870  -1   3  -1 
59336.073065 -0.010552 0.080640 11.459445 0.117000 16.248728 0.058941 12.430971 -0.912585 0.117000 -0.971526 0.117000 1.289870  -1   3  -1 
59336.087932 0.004315 0.092342 12.299016 0.109000 14.531927 -0.013814 10.632711 1.652491 0.109000 1.666305 0.109000 1.289870  -1   0  -1 
59336.113567 0.029950 0.112520 11.451016 0.109000 14.531927 -0.138444 10.492200 0.820372 0.109000 0.958816 0.109000 1.289870  -1   0  -1 
59336.116529 0.032912 0.114852 10.632016 0.109000 14.531927 -0.152687 10.476053 0.003276 0.109000 0.155963 0.109000 1.289870  -1   0  -1 
59337.794690 0.440639 0.435787 11.758036 0.103000 16.076126 -0.724219 11.591802 -0.557985 0.103000 0.166234 0.103000 1.289870  -1   2  -1 
59337.802213 0.448162 0.441709 11.947036 0.103000 16.076126 -0.704427 11.624711 -0.382102 0.103000 0.322325 0.103000 1.289870  -1   2  -1 
59337.805964 0.451913 0.444661 11.783036 0.103000 16.076126 -0.694244 11.641438 -0.552646 0.103000 0.141598 0.103000 1.289870  -1   2  -1 
59338.101617 -0.522868 0.677379 12.022016 0.109000 14.531927 0.437517 11.713574 0.745959 0.109000 0.308442 0.109000 1.289870  -1   0  -1 
59338.106766 -0.517719 0.681432 11.620016 0.110000 14.531927 0.456819 11.740162 0.336673 0.110000 -0.120146 0.110000 1.289870  -1   0  -1 
59338.111894 -0.512591 0.685469 11.480016 0.110000 14.531927 0.475809 11.766350 0.189475 0.110000 -0.286334 0.110000 1.289870  -1   0  -1 
59340.098120 0.203201 0.248892 7.644445 0.116000 16.248728 -0.793262 10.689832 -3.838650 0.116000 -3.045387 0.116000 1.289870  -1   3  -1 
59340.099194 0.204275 0.249738 10.253445 0.117000 16.248728 -0.795674 10.686911 -1.229140 0.117000 -0.433466 0.117000 1.289870  -1   3  -1 
59340.101354 0.206435 0.251438 9.977445 0.116000 16.248728 -0.800450 10.681122 -1.504127 0.116000 -0.703677 0.116000 1.289870  -1   3  -1 
59340.125153 0.230234 0.270171 10.201016 0.104000 14.531927 -0.846346 8.908259 0.446410 0.104000 1.292757 0.104000 1.289870  -1   0  -1 
59340.134329 0.239410 0.277394 10.066016 0.104000 14.531927 -0.860705 8.890472 0.314839 0.104000 1.175544 0.104000 1.289870  -1   0  -1 
59340.148161 0.253242 0.288281 9.340016 0.104000 14.531927 -0.878801 8.867725 -0.406510 0.104000 0.472291 0.104000 1.289870  -1   0  -1 
59341.954385 -0.481401 0.710019 12.591445 0.119000 16.248728 0.585631 12.244699 0.932377 0.119000 0.346746 0.119000 1.289870  -1   3  -1 
59341.957620 -0.478166 0.712566 11.846445 0.119000 16.248728 0.596403 12.251146 0.191702 0.119000 -0.404701 0.119000 1.289870  -1   3  -1 
59341.958695 -0.477091 0.713412 11.125445 0.119000 16.248728 0.599955 12.253258 -0.527858 0.119000 -1.127813 0.119000 1.289870  -1   3  -1 
59341.996746 -0.439040 0.743363 9.912016 0.107000 14.531927 0.715827 10.600579 0.027264 0.107000 -0.688563 0.107000 1.289870  -1   0  -1 
59342.000684 -0.435102 0.746463 11.168016 0.107000 14.531927 0.726632 10.605947 1.288701 0.107000 0.562069 0.107000 1.289870  -1   0  -1 
59343.674792 -0.031428 0.064208 12.265036 0.104000 16.076126 0.160544 11.551156 0.874424 0.104000 0.713880 0.104000 1.289870  -1   2  -1 
59343.682301 -0.023919 0.070119 11.495036 0.104000 16.076126 0.124142 11.529031 0.090147 0.104000 -0.033995 0.104000 1.289870  -1   2  -1 
59343.689815 -0.016405 0.076033 11.638036 0.104000 16.076126 0.087536 11.506702 0.218870 0.104000 0.131334 0.104000 1.289870  -1   2  -1 
59344.038460 0.332240 0.350463 9.612016 0.106000 14.531927 -0.900717 9.569021 -0.857722 0.106000 0.042995 0.106000 1.289870  -1   0  -1 
59344.047124 0.340904 0.357283 9.678016 0.105000 14.531927 -0.894912 9.586684 -0.803580 0.105000 0.091332 0.105000 1.289870  -1   0  -1 
59344.054785 0.348565 0.363313 9.704016 0.105000 14.531927 -0.888488 9.603435 -0.787907 0.105000 0.100581 0.105000 1.289870  -1   0  -1 
59344.090520 0.384300 0.391441 10.762445 0.117000 16.248728 -0.843078 11.411798 -1.492431 0.117000 -0.649353 0.117000 1.289870  -1   3  -1 
59344.093753 0.387533 0.393986 10.331445 0.117000 16.248728 -0.837762 11.421123 -1.927440 0.117000 -1.089678 0.117000 1.289870  -1   3  -1 
59344.094826 0.388606 0.394831 12.097445 0.117000 16.248728 -0.835954 11.424254 -0.162764 0.117000 0.673191 0.117000 1.289870  -1   3  -1 
59345.052239 0.075586 0.148442 9.690016 0.106000 14.531927 -0.350976 10.103837 -0.764797 0.106000 -0.413821 0.106000 1.289870  -1   0  -1 
59345.054836 0.078183 0.150486 9.351016 0.106000 14.531927 -0.362498 10.089499 -1.100981 0.106000 -0.738483 0.106000 1.289870  -1   0  -1 
59345.062635 0.085982 0.156625 9.182016 0.105000 14.531927 -0.396633 10.046876 -1.261492 0.105000 -0.864860 0.105000 1.289870  -1   0  -1 
59348.691508 -0.096446 0.013030 9.657036 0.102000 16.076126 0.459004 10.879621 -0.763581 0.102000 -1.222585 0.102000 1.289870  -1   2  -1 
59348.699020 -0.088934 0.018943 11.244036 0.102000 16.076126 0.426715 10.844341 0.826409 0.102000 0.399695 0.102000 1.289870  -1   2  -1 
59348.702790 -0.085164 0.021910 11.974036 0.103000 16.076126 0.410242 10.826445 1.557833 0.103000 1.147591 0.103000 1.289870  -1   2  -1 
