# time Tc_folded Tref_folded model model_err 
59325.801227 0.000000 0.000000    -0.000370     0.020415 
59325.833009 0.000000 0.000000    -0.000380     0.020417 
59325.864791 0.000000 0.000000    -0.000391     0.020418 
59325.896573 0.000000 0.000000    -0.000402     0.020419 
59325.928355 0.000000 0.000000    -0.000413     0.020420 
59325.960137 0.000000 0.000000    -0.000423     0.020421 
59325.991919 0.000000 0.000000    -0.000433     0.020422 
59326.023701 0.000000 0.000000    -0.000444     0.020422 
59326.055483 0.000000 0.000000    -0.000454     0.020422 
59326.087265 0.000000 0.000000    -0.000464     0.020422 
59326.119047 0.000000 0.000000    -0.000474     0.020422 
59326.150829 0.000000 0.000000    -0.000484     0.020421 
59326.182611 0.000000 0.000000    -0.000494     0.020421 
59326.214393 0.000000 0.000000    -0.000503     0.020420 
59326.246175 0.000000 0.000000    -0.000513     0.020418 
59326.277957 0.000000 0.000000    -0.000522     0.020417 
59326.309739 0.000000 0.000000    -0.000532     0.020415 
59326.341521 0.000000 0.000000    -0.000541     0.020413 
59326.373303 0.000000 0.000000    -0.000550     0.020411 
59326.405085 0.000000 0.000000    -0.000558     0.020409 
59326.436867 0.000000 0.000000    -0.000567     0.020406 
59326.468649 0.000000 0.000000    -0.000576     0.020403 
59326.500431 0.000000 0.000000    -0.000584     0.020400 
59326.532213 0.000000 0.000000    -0.000592     0.020397 
59326.563995 0.000000 0.000000    -0.000600     0.020393 
59326.595777 0.000000 0.000000    -0.000608     0.020390 
59326.627559 0.000000 0.000000    -0.000615     0.020386 
59326.659341 0.000000 0.000000    -0.000623     0.020382 
59326.691123 0.000000 0.000000    -0.000630     0.020377 
59326.722905 0.000000 0.000000    -0.000637     0.020373 
59326.754687 0.000000 0.000000    -0.000644     0.020368 
59326.786469 0.000000 0.000000    -0.000651     0.020363 
59326.818251 0.000000 0.000000    -0.000657     0.020358 
59326.850033 0.000000 0.000000    -0.000664     0.020352 
59326.881815 0.000000 0.000000    -0.000670     0.020347 
59326.913597 0.000000 0.000000    -0.000676     0.020341 
59326.945379 0.000000 0.000000    -0.000681     0.020335 
59326.977161 0.000000 0.000000    -0.000687     0.020329 
59327.008943 0.000000 0.000000    -0.000692     0.020323 
59327.040725 0.000000 0.000000    -0.000697     0.020316 
59327.072507 0.000000 0.000000    -0.000702     0.020310 
59327.104289 0.000000 0.000000    -0.000707     0.020303 
59327.136071 0.000000 0.000000    -0.000711     0.020296 
59327.167853 0.000000 0.000000    -0.000715     0.020289 
59327.199635 0.000000 0.000000    -0.000719     0.020282 
59327.231417 0.000000 0.000000    -0.000723     0.020274 
59327.263199 0.000000 0.000000    -0.000727     0.020267 
59327.294981 0.000000 0.000000    -0.000730     0.020259 
59327.326763 0.000000 0.000000    -0.000733     0.020252 
59327.358545 0.000000 0.000000    -0.000736     0.020244 
59327.390327 0.000000 0.000000    -0.000739     0.020236 
59327.422109 0.000000 0.000000    -0.000741     0.020228 
59327.453891 0.000000 0.000000    -0.000744     0.020220 
59327.485673 0.000000 0.000000    -0.000746     0.020212 
59327.517455 0.000000 0.000000    -0.000748     0.020203 
59327.549237 0.000000 0.000000    -0.000749     0.020195 
59327.581019 0.000000 0.000000    -0.000751     0.020186 
59327.612801 0.000000 0.000000    -0.000752     0.020178 
59327.644583 0.000000 0.000000    -0.000753     0.020169 
59327.676365 0.000000 0.000000    -0.000754     0.020160 
59327.708147 0.000000 0.000000    -0.000754     0.020151 
59327.739929 0.000000 0.000000    -0.000755     0.020142 
59327.771711 0.000000 0.000000    -0.000755     0.020133 
59327.803493 0.000000 0.000000    -0.000755     0.020124 
59327.835275 0.000000 0.000000    -0.000755     0.020115 
59327.867057 0.000000 0.000000    -0.000754     0.020106 
59327.898839 0.000000 0.000000    -0.000753     0.020097 
59327.930621 0.000000 0.000000    -0.000753     0.020088 
59327.962402 0.000000 0.000000    -0.000752     0.020078 
59327.994184 0.000000 0.000000    -0.000750     0.020069 
59328.025966 0.000000 0.000000    -0.000749     0.020060 
59328.057748 0.000000 0.000000    -0.000747     0.020050 
59328.089530 0.000000 0.000000    -0.000745     0.020041 
59328.121312 0.000000 0.000000    -0.000743     0.020031 
59328.153094 0.000000 0.000000    -0.000741     0.020022 
59328.184876 0.000000 0.000000    -0.000739     0.020013 
59328.216658 0.000000 0.000000    -0.000736     0.020003 
59328.248440 0.000000 0.000000    -0.000734     0.019994 
59328.280222 0.000000 0.000000    -0.000731     0.019984 
59328.312004 0.000000 0.000000    -0.000728     0.019975 
59328.343786 0.000000 0.000000    -0.000724     0.019965 
59328.375568 0.000000 0.000000    -0.000721     0.019956 
59328.407350 0.000000 0.000000    -0.000717     0.019946 
59328.439132 0.000000 0.000000    -0.000714     0.019937 
59328.470914 0.000000 0.000000    -0.000710     0.019927 
59328.502696 0.000000 0.000000    -0.000706     0.019918 
59328.534478 0.000000 0.000000    -0.000702     0.019909 
59328.566260 0.000000 0.000000    -0.000697     0.019899 
59328.598042 0.000000 0.000000    -0.000693     0.019890 
59328.629824 0.000000 0.000000    -0.000688     0.019881 
59328.661606 0.000000 0.000000    -0.000683     0.019871 
59328.693388 0.000000 0.000000    -0.000678     0.019862 
59328.725170 0.000000 0.000000    -0.000673     0.019853 
59328.756952 0.000000 0.000000    -0.000668     0.019844 
59328.788734 0.000000 0.000000    -0.000663     0.019835 
59328.820516 0.000000 0.000000    -0.000658     0.019826 
59328.852298 0.000000 0.000000    -0.000652     0.019817 
59328.884080 0.000000 0.000000    -0.000647     0.019808 
59328.915862 0.000000 0.000000    -0.000641     0.019799 
59328.947644 0.000000 0.000000    -0.000635     0.019791 
59328.979426 0.000000 0.000000    -0.000629     0.019782 
59329.011208 0.000000 0.000000    -0.000623     0.019773 
59329.042990 0.000000 0.000000    -0.000617     0.019765 
59329.074772 0.000000 0.000000    -0.000611     0.019757 
59329.106554 0.000000 0.000000    -0.000605     0.019748 
59329.138336 0.000000 0.000000    -0.000599     0.019740 
59329.170118 0.000000 0.000000    -0.000592     0.019732 
59329.201900 0.000000 0.000000    -0.000586     0.019724 
59329.233682 0.000000 0.000000    -0.000579     0.019716 
59329.265464 0.000000 0.000000    -0.000572     0.019708 
59329.297246 0.000000 0.000000    -0.000566     0.019700 
59329.329028 0.000000 0.000000    -0.000559     0.019692 
59329.360810 0.000000 0.000000    -0.000552     0.019685 
59329.392592 0.000000 0.000000    -0.000545     0.019677 
59329.424374 0.000000 0.000000    -0.000539     0.019670 
